trade_index,symbol,entry_date,exit_date,entry_sig_date,exit_sig_date,position,period,entry_index,exit_index,return,industry,stock_id,trade_price@entry_date,trade_price@exit_date,adj_close@entry_date,pct_change@entry_date,pct_change@exit_date,turnover@entry_date,turnover@exit_date,volume@entry_date,volume@exit_date,類別@entry_sig_date,類別@exit_sig_date,mae,gmfe,bmfe,mdd,pdays
10,00895 富邦未來車,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.0514504550468835,foreign_etf,00895 富邦未來車,18.13,19.09,18.13,0.004988913525498795,0.00526592943654558,189659924.29999998,84850640.21,10461110.0,4444769.0,0,0,-0.0014250000000000096,0.05310281301709874,0.0,-0.0067991631799163565,5.0
11,00896 中信綠能及電動車,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.031159283023739714,domestic_etf,00896 中信綠能及電動車,15.95,16.32,16.61882186964882,0.0037759597230961894,0.003073140749846548,50101422.25,36480716.160000004,3141155.0,2235338.0,0,0,-0.0014250000000000096,0.031159283023739714,0.0,-0.0014250000000000096,5.0
12,00898 國泰基因免疫革命,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.011116977505741366,foreign_etf,00898 國泰基因免疫革命,7.62,7.75,7.62,-0.001310615989515096,-0.005134788189987138,4965344.4,7045230.5,651620.0,909062.0,0,0,-0.0014250000000000096,0.023473851706036664,0.0,-0.014084507042253502,5.0
13,00900 富邦特選高股息30,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.010933601485148658,domestic_etf,00900 富邦特選高股息30,12.12,12.27,13.768361124239243,0.0,-0.006477732793522151,207280518.35999998,175739394.03,17102353.0,14322689.0,0,0,-0.0014250000000000096,0.024116109735973668,0.0,-0.012872083668543755,5.0
14,00902 中信電池及儲能,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.011703348397699154,foreign_etf,00902 中信電池及儲能,12.17,12.33,12.17,0.0049545829892652105,-0.008842443729903504,53442607.8,42607190.43,4391340.0,3455571.0,0,0,-0.0014250000000000096,0.020729087921117273,0.0,-0.008842443729903393,5.0
15,00903 富邦元宇宙,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.011258001693480235,foreign_etf,00903 富邦元宇宙,11.81,11.96,11.81,-0.0016906170752324368,-0.007468879668049766,22361679.93,26038773.8,1893453.0,2177155.0,0,0,-0.0014250000000000096,0.018867802709568338,0.0,-0.007468879668049877,5.0
16,00905 FT臺灣Smart,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.023231172839506486,domestic_etf,00905 FT臺灣Smart,9.72,9.96,10.013885778275474,0.007253886010362587,-0.002004008016032066,21412693.44,24115261.560000002,2202952.0,2421211.0,0,0,-0.0014250000000000096,0.026313194444444576,0.0,-0.0030030030030028243,5.0
17,00907 永豐優息存股,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.008532095423603225,domestic_etf,00907 永豐優息存股,14.97,14.85,15.612147489999254,-0.0013342228152101177,-0.0053583389149364224,26193218.580000002,27168060.15,1749714.0,1829499.0,0,0,-0.004125350097785918,0.0019102538410151748,0.0019102538410151748,-0.0060240963855419105,3.0
18,00917 中信特選金融,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.008397049180327798,foreign_etf,00917 中信特選金融,15.25,15.4,15.25,0.002629848783694877,-0.0019442644199610948,12437061.25,5640481.0,815545.0,366265.0,0,0,-0.0033894098360655045,0.010361459016393404,0.0,-0.0033894098360655045,4.0
19,00925 新光標普電動車,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.04979938243236948,其他證券,00925 新光標普電動車,16.08,16.98,16.08,0.004372267332916735,-0.0029359953024075125,8240308.56,3960754.8000000003,512457.0,233260.0,0,0,-0.0014250000000000096,0.05757041355721415,0.0,-0.0029359953024076235,5.0
20,020022 元大電動車N,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.056027260273972423,其他證券,020022 元大電動車N,7.3,7.72,7.3,0.00137174211248281,-0.0012936610608021981,6102800.0,7550160.0,836000.0,978000.0,0,0,-0.0014250000000000096,0.05739517123287663,0.0,-0.0014250000000000096,5.0
21,1210 大成,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.011503028183112107,食品工業,1210 大成,52.7,52.4,219.81086204261922,-0.01495327102803734,-0.0019047619047619646,66007171.6,43360371.199999996,1252508.0,827488.0,0,0,-0.007109487666034253,0.0023646584440226714,0.0023646584440226714,-0.009451795841209809,2.0
22,1215 卜蜂,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.016907370410367273,食品工業,1215 卜蜂,92.6,94.3,242.4839555092706,-0.008565310492505418,-0.007368421052631691,65057241.199999996,370378055.09999996,702562.0,3927657.0,0,0,-0.0014250000000000096,0.035239740820734555,0.0,-0.017708333333333437,4.0
23,1216 統一,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.0326471128608925,食品工業,1216 統一,76.2,78.8,223.4176100826761,0.0026315789473685403,0.020725388601036343,395101419.6,1297533880.8,5185058.0,16466166.0,0,0,-0.0027354658792652087,0.0326471128608925,0.0,-0.0027354658792652087,3.0
24,1229 聯華,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.0035499085127954633,食品工業,1229 聯華,63.5,64.1,276.86879639503843,0.001577287066246047,-0.007739938080495334,39611236.5,49072780.599999994,623799.0,765566.0,0,0,-0.0014250000000000096,0.015873149606299375,0.0,-0.007739938080495334,5.0
25,1303 南亞,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.010195420326223448,塑膠工業,1303 南亞,79.7,79.0,202.05624910441134,-0.0025031289111390187,-0.013732833957553092,188399482.6,240934042.0,2363858.0,3049798.0,0,0,-0.010195420326223448,0.00358666875784186,0.00358666875784186,-0.013732833957553092,1.0
26,1402 遠東新,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.015526118827160706,紡織纖維,1402 遠東新,32.4,32.95,87.22570783536568,-0.004608294930875667,0.0,164344885.2,145660714.05,5072373.0,4420659.0,0,0,-0.0014250000000000096,0.01706712962962964,0.0,-0.0015151515151513584,5.0
27,1477 聚陽,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.13368701518640402,紡織纖維,1477 聚陽,228.0,260.0,745.2264565854942,0.0,-0.015151515151515138,234103332.0,2867880340.0,1026769.0,11030309.0,0,0,-0.0014250000000000096,0.1562447368421056,0.0,-0.015151515151515027,5.0
28,1515 力山,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.05255021491281231,電機機械,1515 力山,34.05,36.05,38.86748449916861,0.020989505247376083,-0.006887052341597699,52367095.349999994,52625789.99999999,1537947.0,1459800.0,0,0,-0.008756681350954532,0.06456013215859047,0.0015076725403817548,-0.010248901903367469,4.0
29,1560 中砂,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.03897482759989712,電機機械,1560 中砂,122.0,127.5,359.8837772047277,-0.01612903225806439,-0.015444015444015524,660145172.0,426931837.5,5411026.0,3348485.0,0,0,-0.0014250000000000096,0.08042540983606528,0.0,-0.03409090909090928,5.0
30,1603 華電,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.008945407692148688,電器電纜,1603 華電,30.25,30.7,29.31524975414507,-0.009819967266775809,-0.001626016260162566,52098728.0,39569936.1,1722272.0,1288923.0,0,0,-0.004726074380165368,0.020031983471074266,0.001876074380165349,-0.006589785831960571,4.0
31,1708 東鹼,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.01901021326562513,化學工業,1708 東鹼,38.0,38.95,88.87295161406549,-0.015544041450777368,0.006459948320413522,38014402.0,30700740.55,1000379.0,788209.0,0,0,-0.0014250000000000096,0.02353937500000014,0.0,-0.007741935483870921,5.0
32,1721 三晃,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.01842795140822784,化學工業,1721 三晃,15.8,15.6,10.42826862025641,-0.030674846625766916,-0.012658227848101222,61556089.0,16932708.0,3895955.0,1085430.0,0,0,-0.01406518987341765,0.0,0.0,-0.01406518987341765,0.0
33,1722 台肥,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.006249033816425054,化學工業,1722 台肥,62.1,61.8,118.48847449625966,0.0,0.0,64103718.6,79960733.39999999,1032266.0,1293863.0,0,0,-0.006249033816425054,0.00018301127214170876,0.00018301127214170876,-0.006430868167202508,3.0
34,1736 喬山,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.035952666822447465,運動休閒,1736 喬山,66.6,69.4,214.9938624857696,-0.017699115044247815,0.02359882005899716,19097883.0,67462560.2,286755.0,972083.0,0,0,-0.01491925675675676,0.04055713213213208,0.0,-0.01491925675675676,2.0
35,1907 永豐餘,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,-0.08575544101243193,造紙工業,1907 永豐餘,36.7,33.75,76.28473394157159,-0.025232403718459473,-0.0357142857142857,302676607.3,1126256670.0,8247319.0,33370568.0,0,0,-0.08169192779291556,0.0,0.0,-0.08169192779291556,0.0
36,2002 中鋼,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.0008622503509696511,鋼鐵工業,2002 中鋼,29.65,29.85,84.52921674604518,-0.003361344537815114,0.003361344537815114,276911371.7,365618113.05,9339338.0,12248513.0,0,0,-0.0031089376053963225,0.005310750421585242,0.0,-0.0031089376053963225,2.0
37,2009 第一銅,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.004829762893980183,鋼鐵工業,2009 第一銅,32.6,32.95,52.05195412563453,-0.019548872180451093,0.007645259938837912,32070999.8,25224575.950000003,983773.0,765541.0,0,0,-0.013677453987730126,0.009295897239263828,0.0,-0.013677453987730126,3.0
38,2023 燁輝,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.007109482245521548,鋼鐵工業,2023 燁輝,15.35,15.55,34.31544959828974,-0.012861736334405238,0.006472491909385258,19963688.099999998,27773994.950000003,1300566.0,1786109.0,0,0,-0.0046776872964168215,0.011585749185668126,0.0,-0.0046776872964168215,2.0
39,2027 大成鋼,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.018780457933972095,鋼鐵工業,2027 大成鋼,46.95,47.9,138.78554524005744,-0.009493670886075778,-0.009307135470527528,303413952.45000005,373884408.0,6462491.0,7805520.0,0,0,-0.01312289669861555,0.028351464323748576,0.0,-0.01312289669861555,3.0
40,2038 海光,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.014039431737500108,鋼鐵工業,2038 海光,20.0,20.4,27.788401838016092,-0.017199017199017175,0.0,7220580.0,6677511.6,361029.0,327329.0,0,0,-0.006417875000000017,0.01854650000000002,0.0,-0.006417875000000017,4.0
