trade_index,symbol,entry_date,exit_date,entry_sig_date,exit_sig_date,position,period,entry_index,exit_index,return,industry,stock_id,trade_price@entry_date,trade_price@exit_date,adj_close@entry_date,pct_change@entry_date,pct_change@exit_date,turnover@entry_date,turnover@exit_date,volume@entry_date,volume@exit_date,類別@entry_sig_date,類別@exit_sig_date,mae,gmfe,bmfe,mdd,pdays,holding_days
35,2884 玉山金,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.019048806593928,金融保險業,2884 玉山金,26.35,26.0,101.92690456635763,-0.0018939393939393,0.0019267822736031,453399100.9500001,406938610.0,17206797.0,15651485.0,0,0,-0.0355319259962051,0.0,0.0,-0.0355319259962051,0.0,17.0
36,3015 全漢,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0167041805979382,電子零組件業,3015 全漢,48.5,49.6,198.49027895521004,-0.0041067761806982,0.0163934426229508,80904741.5,42732632.0,1668139.0,861545.0,0,0,-0.0230436340206184,0.0974030412371136,0.0,-0.0844277673545966,9.0,17.0
37,3035 智原,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.321440435942141,半導體業,3035 智原,202.0,268.5,368.9264235041914,0.015075376884422,0.0307101727447216,4233862834.0,10116328737.0,20959717.0,37677202.0,0,1,-0.0211987623762375,0.3273137995049504,0.0,-0.0430528375733856,11.0,17.0
38,3036 文曄,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0322241464884018,電子通路業,3036 文曄,67.9,70.5,294.2019985515803,-0.0014705882352941,0.0187861271676299,57192373.7,156429066.0,842303.0,2218852.0,0,0,-0.0087782768777612,0.0368120397643592,4.565537555234478e-05,-0.0270655270655273,11.0,17.0
39,3049 精金,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0901694524414061,光電業,3049 精金,11.2,10.25,6.76402607304858,0.0,-0.0048543689320388,151784684.79999998,23397767.25,13552204.0,2282709.0,0,0,-0.0861255580357142,0.0,0.0,-0.0861255580357142,0.0,17.0
40,3289 宜特,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.2628471990371619,其他電子業,3289 宜特,92.5,117.5,137.88725644636872,-0.0138592750533049,0.0307017543859648,342616115.0,653009540.0,3703958.0,5557528.0,0,0,-0.0025045405405402,0.268460135135135,0.0,-0.0256410256410256,12.0,17.0
41,3680 家登,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.1205990747651646,半導體業,3680 家登,424.5,375.5,646.8319266129737,-0.005854800936768,-0.0246753246753245,1398891357.0,789693773.0,3295386.0,2103046.0,0,0,-0.1166904299175497,0.0173938457008246,0.0173938457008246,-0.1317919075144507,2.0,17.0
42,3702 大聯大,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0440474499089247,電子通路業,3702 大聯大,54.9,57.4,183.67735813624503,0.0018248175182482,-0.0103448275862069,158845024.79999998,319582937.8,2893352.0,5567647.0,0,0,-0.0050627959927139,0.0549608378870667,0.0,-0.0140597539543058,9.0,17.0
43,3715 定穎投控,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.1151042788732303,電子零組件業,3715 定穎投控,28.7,31.35,28.7,-0.0559210526315788,0.052013422818792,303564291.1,399597132.0,10577153.0,12746320.0,0,0,-0.0605740418118465,0.132530182926829,0.0,-0.0952380952380951,8.0,17.0
44,4744 皇將,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.150695858457348,生技醫療業,4744 皇將,40.15,34.3,49.92813679101081,-0.0290205562273276,-0.0365168539325843,48352645.0,103847263.1,1204300.0,3027617.0,0,0,-0.1469209838107104,0.0744318804483181,0.0744318804483181,-0.2060185185185186,7.0,17.0
